,author_name,quotes,char_length,keyword
0,Og Mandino,Never settle for the crumbs of life.,36,Today
1,Eleanor Roosevelt,"You gain strength, courage and confidence by every experience in which you really stop to look fear in the face.",112,Today
2,Sun Tzu,"In the midst of chaos, there is also opportunity.",49,Today
3,Walt Disney,The way to get started is to quit talking and begin doing.,58,Today
4,Ronald Reagan,"There are no constraints on the human mind, no walls around the human spirit, no barriers to our progress except those we ourselves erect.",138,Today
5,Theodore Roosevelt,"If you could kick the person in the pants responsible for most of your trouble, you wouldn't sit for a month.",109,Today
6,Dogen,"A fool sees himself as another, but a wise man sees others as himself.",70,Today
7,Earl Nightingale,"Think how really precious is the time you have to spend, whether it's at work or with your family. Every minute should be enjoyed and savored.",142,Today
8,Leo Tolstoy,"When you love someone, you love the person as they are, and not as you'd like them to be.",89,Today
9,Dan Brown,Everything is possible. The impossible just takes longer.,57,Today
10,Isaac Newton,To arrive at the simplest truth requires years of contemplation.,64,Today
11,Amelia Earhart,It is best to begin at the beginning.,37,Today
12,Winston Churchill,"The farther backward you can look, the farther forward you are likely to see.",77,Today
13,Sun Tzu,Be where your enemy is not.,27,Today
14,G.I. Gurdjieff,"Man must use what he has, not hope for what is not.",51,Today
15,Les Brown,Act the way you want to be and soon you'll be the way you act.,62,Today
16,"Martin Luther King, Jr.",There can be no deep disappointment where there is not deep love.,65,Today
17,Les Brown,You don't get in life what you want; you get in life what you are.,66,Today
18,Chinese Proverb,A clear conscience never fears midnight knocking.,49,Today
19,Huang Po,When the fish is caught we pay no more attention to the trap.,61,Today
20,John Carmack,Focus is a matter of deciding what things you're not going to do.,65,Today
21,Vince Lombardi,"The harder you work, the harder it is to surrender.",51,Today
22,Barack Obama,A change is brought about because ordinary people do extraordinary things.,74,Today
23,Gilbert Chesterton,To forgive means pardoning the unpardonable.,44,Today
24,Bruce Lee,"The successful warrior is the average man, with laser-like focus.",65,Today
25,Margaret Mead,I was wise enough to never grow up while fooling most people into believing I had. ,83,Today
26,Euripides,One loyal friend is worth ten thousand relatives.,49,Today
27,Brian Tracy,The happiest people in the world are those who feel absolutely terrific about themselves.,89,Today
28,Jim Rohn,"Success is not to be pursued, it is to be attracted by the person you become.",77,Today
29,Dan Brown,The power of human thought grows exponentially with the number of minds that share that thought.,96,Today
30,George Bernard Shaw,Just do what must be done. This may not be happiness but it is greatness.,73,Today
31,Carlos Ruiz Zafon,Nothing important is learned; it is simply remembered.,54,Today
32,Benjamin Franklin,Well done is better than well said.,35,Today
33,Wayne Dyer,Conflict cannot survive without your participation. ,52,Today
34,Steve Maraboli,The right thing to do and the hard thing to do are usually the same.,68,Today
35,Elon Musk,"I think it's very important to have a feedback loop, where you're constantly thinking about what you've done and how you could be doing it better.",146,Today
36,Chinese Proverb,Better a diamond with a flaw than a pebble without one.,55,Today
37,Leonardo da Vinci,Learning never exhausts the mind. ,34,Today
38,Chinese Proverb,Teachers open the door. You enter by yourself. ,47,Today
39,Charlie Chaplin,We think too much and feel too little.,38,Today
40,Lao Tzu,"We shape clay into a pot, but it is the emptiness inside that holds whatever we want.",85,Today
41,"Martin Luther King, Jr.","The quality, not the longevity, of one's life is what is important.",67,Today
42,Dalai Lama,Take into account that great love and great achievements involve great risk.,76,Today
43,Ming-Dao Deng,"Help others for all the times that you have been ignored. Be kind to others, for all the times that you have been scorned.",122,Today
44,William James,"If you can change your mind, you can change your life.",54,Today
45,Criss Jami,To seek greatness is the only righteous vengeance.,50,Today
46,Wayne Gretzky,It's easier to lose than to win.  ,34,Today
47,Zen Proverb,The man who moved the mountain was the one who began carrying away the smallest stones.,87,Today
48,Robert Collier,If you don't make things happen then things will happen to you.,63,Today
49,Ming-Dao Deng,"Things cannot forever go downward. There are limits to everything?even the cold, and the darkness, and the wind, and the dying.",127,Today
